OBJECTID,ADMINFORESTID,REGION,FORESTNUMBER,FORESTORGCODE,FORESTNAME,GIS_ACRES,SHAPE_Length,SHAPE_Area
1,99051000010343,05,10,0510,Six Rivers National Forest,1273948.858,1361986.20141572,9109656470.1465
2,99062200010343,06,22,0622,Columbia River Gorge National Scenic Area,292682.319,627206.107642185,2424467428.96665
3,99060700010343,06,07,0607,Ochoco National Forest,912775.012,1124888.15839627,7230133121.15321
4,99092000010343,09,20,0920,Green Mountain and Finger Lakes National Forests,853901.477,1257684.09283928,6526454201.7939
5,99090700010343,09,07,0907,Ottawa National Forest,1562424.368,935930.412048882,13317358503.7411
6,99060300010343,06,03,0603,Gifford Pinchot National Forest,1496996.274,1278008.16094019,12673723384.2167
7,99041900010343,04,19,0419,Uinta-Wasatch-Cache National Forest,2912958.054,2463792.96250833,20615306669.3559
8,99020700010343,02,07,0207,Nebraska National Forest,2064866.668,2341557.75873635,15806159376.3374
9,99040800010343,04,08,0408,Fishlake National Forest,1788264.03,1647858.47268721,11871780142.5923
10,99030900010343,03,09,0309,Prescott National Forest,1411550.183,1000145.6351552,8464306237.71598
11,99081300010343,08,13,0813,National Forests in Texas,1921501.91,1980684.63944868,10697341274.0228
12,99050200010343,05,02,0502,Cleveland National Forest,561816.413,762351.998257685,3255147771.31899
13,99021400010343,02,14,0214,Shoshone National Forest,2469244.403,1667327.99561956,19346639728.763
14,99080500010343,08,05,0805,National Forests in Florida,1423182.076,1083755.85377599,7696511829.37691
15,99010400010343,01,04,0104,Idaho Panhandle National Forests,2943500.899,4229919.35116491,26513129183.833
16,99031200010343,03,12,0312,Tonto National Forest,2966417.145,969888.358145716,17459298047.6915
17,99031000010343,03,10,0310,Santa Fe National Forest,1681805.88,1514108.81083654,10393653168.9972
18,99040200010343,04,02,0402,Boise National Forest,2526872.067,1714859.76575628,19787968393.13
19,99010200010343,01,02,0102,Beaverhead-Deerlodge National Forest,3614083.492,5111218.567413,29903142756.2385
20,e23b8205-a516-4aa3-945e-5dd93dbfe227,08,60,0860,Land Between the Lakes National Recreation Area,171280.759,723650.251635333,1081714226.51153
21,99011400010343,01,14,0114,Kootenai National Forest,2622078.837,2893788.74962601,24088249073.8987
22,99030300010343,03,03,0303,Cibola National Forest,3215659.716,2783532.24215742,19505037946.2475
23,99061500010343,06,15,0615,Umpqua National Forest,1035843.193,686229.511677554,7895880387.73636
24,99041000010343,04,10,0410,Manti-La Sal National Forest,1414386.227,1395094.4967908,9462159201.34217
25,99060400010343,06,04,0604,Malheur National Forest,1786541.122,1888465.95960485,14064741436.0368
26,99050900010343,05,09,0509,Modoc National Forest,2023025.034,1591679.9805085,14637226231.413
27,99051500010343,05,15,0515,Sierra National Forest,1418789.802,816818.5300947,9081234959.34653
28,99040100010343,04,01,0401,Ashley National Forest,1401279.257,1189128.22502488,9861124564.12279
29,99030500010343,03,05,0305,Coronado National Forest,1785091.07,1981742.81834651,10070308514.3151
30,99051100010343,05,11,0511,Plumas National Forest,1431799.968,1808785.08404534,9864343020.47585
31,99041400010343,04,14,0414,Sawtooth National Forest,2190138.901,1631716.71331599,16784681312.0662
32,99011800010343,01,18,0118,Dakota Prairie Grasslands,1384948.952,10536013.7355705,12038508476.0435
33,99061400010343,06,14,0614,Umatilla National Forest,1498100.505,1953318.43907855,12327920740.1481
34,99081100010343,08,11,0811,National Forests in North Carolina,3026239.017,2447038.29844679,18480022143.7344
