,GROUP,score,magnitude
0,45579_1,-0.1,3.3
1,45579_2,-0.4,3.6
2,45579_3,0.4,1.9
3,45579_4,0.0,0.6
4,45579_5,0.0,1.5
5,45579_6,-0.1,13.4
6,45579_7,-0.1,2.9
7,45579_8,0.0,0.0
8,45579_9,0.2,0.2
9,45579_10,-0.5,0.5
10,45579_11,-0.2,1.0
11,45579_12,-0.6,3.3
12,45579_13,-0.4,0.4
13,45579_14,-0.4,0.8
14,45579_15,0.0,2.4
15,45579_16,0.0,5.4
16,45579_17,0.1,7.2
17,45579_18,0.0,3.1
18,45579_19,-0.1,6.9
19,45579_20,0.0,4.3
20,45579_21,0.0,6.2
21,45579_22,0.1,2.0
22,45579_23,0.1,3.5
23,45579_24,0.0,7.9
24,45579_25,-0.3,3.2
25,45579_26,-0.3,1.0
26,45579_27,0.0,17.4
27,45579_28,0.0,3.0
28,45579_29,0.0,3.7
29,45579_30,0.1,0.8
30,45579_31,-0.2,1.5
31,45579_32,-0.1,6.1
32,45579_33,-0.2,6.2
33,45579_34,-0.8,0.8
34,45579_35,0.0,2.8
35,45579_36,-0.3,6.7
36,45579_37,-0.2,0.9
37,45579_38,-0.1,1.8
38,45579_39,0.0,10.1
39,45579_40,-0.1,1.6
40,45579_41,-0.2,2.4
41,45579_42,-0.1,9.1
42,45579_43,-0.2,5.5
43,45579_44,-0.4,2.8
44,45579_45,-0.2,3.2
45,45579_46,-0.3,4.5
46,45579_47,-0.2,4.5
47,45579_48,-0.3,4.6
48,45579_49,-0.6,2.4
49,45579_50,-0.3,6.3
50,45579_51,-0.3,1.8
51,45579_52,-0.3,1.4
52,45579_53,-0.3,5.1
53,45579_54,-0.1,4.6
54,45579_55,-0.3,2.8
55,45579_56,-0.3,3.1
56,45579_57,0.1,0.6
57,45579_58,-0.4,6.9
58,45579_59,-0.1,4.1
59,45579_60,-0.2,2.5
60,45579_61,-0.1,5.5
61,45579_62,-0.2,1.7
62,45579_63,-0.3,0.9
63,45579_64,-0.4,3.3
64,45579_65,-0.2,4.4
65,45579_66,0.0,0.4
66,45579_67,-0.3,5.5
67,45579_68,-0.5,3.1
68,45579_69,-0.3,5.0
69,45579_70,-0.4,6.6
70,45579_71,-0.3,4.7
71,45579_72,-0.6,1.3
72,45579_73,-0.1,6.0
73,45579_74,-0.2,4.7
74,45579_75,0.0,5.7
75,45579_77,-0.1,9.4
76,45579_78,0.4,4.0
77,45579_79,-0.3,2.2
78,45579_80,-0.3,4.7
79,45579_81,0.0,5.5
80,45579_82,-0.1,5.1
81,45579_83,-0.3,5.5
82,45579_84,-0.2,3.8
83,45579_85,-0.2,2.9
84,45579_86,0.0,2.2
85,45579_87,-0.2,7.8
86,45579_88,-0.1,3.2
87,45579_89,-0.2,9.5
88,45579_90,-0.3,2.8
89,45579_91,-0.2,3.3
90,45579_92,-0.3,4.1
91,45579_93,-0.2,9.5
92,45579_94,-0.3,11.3
93,45579_95,-0.6,3.4
94,45579_96,-0.3,7.9
95,45579_97,-0.4,0.4
96,45579_98,-0.2,5.0
97,45579_99,0.0,0.4
98,45579_100,-0.1,4.4
99,45579_101,0.0,2.9
100,45579_102,-0.3,9.1
101,45579_103,-0.2,1.9
102,45579_104,-0.4,6.3
103,45579_105,-0.3,4.9
104,45579_106,0.1,0.2
105,45579_107,-0.1,2.1
106,45579_108,-0.1,0.7
107,45579_109,-0.2,3.9
108,45579_110,-0.3,5.6
109,45579_111,-0.3,5.8
110,45579_112,0.0,9.9
111,45579_113,-0.3,4.8
112,45579_114,-0.4,1.9
113,45579_115,-0.4,5.0
114,45579_116,-0.2,4.5
115,45579_117,-0.2,5.1
116,45579_118,-0.1,1.5
117,45579_119,-0.2,4.1
118,45579_120,-0.2,3.5
119,45579_121,-0.3,5.8
120,45579_122,-0.1,4.4
121,45579_123,-0.4,4.8
122,45579_124,-0.3,4.6
123,45579_125,-0.1,4.3
124,45579_126,-0.2,4.4
125,45579_127,-0.3,1.8
126,45579_128,-0.2,3.4
127,45579_129,-0.4,3.9
128,45579_130,-0.3,4.7
