district,party,member,annual_score,lifetime_score,year,chamber
CA-01,R,"LaMalfa, Doug",0,1,2017,house
CA-02,D,"Huffman, Jared",100,99,2017,house
CA-03,D,"Garamendi, John",94,89,2017,house
CA-04,R,"McClintock, Tom",0,4,2017,house
CA-05,D,"Thompson, Mike",94,93,2017,house
CA-06,D,"Matsui, Doris",100,97,2017,house
CA-07,D,"Bera, Ami",100,93,2017,house
CA-08,R,"Cook, Paul",3,3,2017,house
CA-09,D,"McNerney, Jerry",97,94,2017,house
CA-10,R,"Denham, Jeff",6,6,2017,house
CA-11,D,"DeSaulnier, Mark",100,99,2017,house
CA-12,D,"Pelosi, Nancy",94,93,2017,house
CA-13,D,"Lee, Barbara",100,96,2017,house
CA-14,D,"Speier, Jackie",100,91,2017,house
CA-15,D,"Swalwell, Eric",97,96,2017,house
CA-16,D,"Costa, Jim",31,47,2017,house
CA-17,D,"Khanna, Ro",97,97,2017,house
CA-18,D,"Eshoo, Anna",100,97,2017,house
CA-19,D,"Lofgren, Zoe",100,91,2017,house
CA-20,D,"Panetta, Jimmy",97,97,2017,house
CA-21,R,"Valadao, David",6,4,2017,house
CA-22,R,"Nunes, Devin",3,3,2017,house
CA-23,R,"McCarthy, Kevin",3,3,2017,house
CA-24,D,"Carbajal, Salud",100,100,2017,house
CA-25,R,"Knight, Steve",9,3,2017,house
CA-26,D,"Brownley, Julia",100,98,2017,house
CA-27,D,"Chu, Judy",100,98,2017,house
CA-28,D,"Schiff, Adam",100,98,2017,house
CA-29,D,"Cárdenas, Tony",97,92,2017,house
CA-30,D,"Sherman, Brad",100,98,2017,house
CA-31,D,"Aguilar, Pete",100,98,2017,house
CA-32,D,"Napolitano, Grace",77,90,2017,house
CA-33,D,"Lieu, Ted",91,91,2017,house
CA-34,D,"Becerra, Xavier",n/a,91,2017,house
CA-34,D,"Gomez, Jimmy",95,95,2017,house
CA-35,D,"Torres, Norma",97,96,2017,house
CA-36,D,"Ruiz, Raul",100,94,2017,house
CA-37,D,"Bass, Karen",97,90,2017,house
CA-38,D,"Sanchez, Linda",100,93,2017,house
CA-39,R,"Royce, Ed",9,11,2017,house
CA-40,D,"Roybal-Allard, Lucille",94,95,2017,house
CA-41,D,"Takano, Mark",100,99,2017,house
CA-42,R,"Calvert, Ken",6,6,2017,house
CA-43,D,"Waters, Maxine",94,91,2017,house
CA-44,D,"Barragán, Nanette",97,97,2017,house
CA-45,R,"Walters, Mimi",3,4,2017,house
CA-46,D,"Correa, J.",91,91,2017,house
CA-47,D,"Lowenthal, Alan",97,98,2017,house
CA-48,R,"Rohrabacher, Dana",9,10,2017,house
CA-49,R,"Issa, Darrell",9,4,2017,house
CA-50,R,"Hunter, Duncan",0,2,2017,house
CA-51,D,"Vargas, Juan",100,96,2017,house
CA-52,D,"Peters, Scott",97,94,2017,house
CA-53,D,"Davis, Susan",100,97,2017,house
NY-01,R,"Zeldin, Lee",9,10,2017,house
NY-02,R,"King, Peter",11,16,2017,house
NY-03,D,"Suozzi, Thomas",97,97,2017,house
NY-04,D,"Rice, Kathleen",100,95,2017,house
NY-05,D,"Meeks, Gregory",89,88,2017,house
NY-06,D,"Meng, Grace",100,96,2017,house
NY-07,D,"Velazquez, Nydia",100,93,2017,house
NY-08,D,"Jeffries, Hakeem",97,96,2017,house
NY-09,D,"Clarke, Yvette",97,94,2017,house
NY-10,D,"Nadler, Jerrold",100,96,2017,house
NY-11,R,"Donovan, Daniel",17,17,2017,house
NY-12,D,"Maloney, Carolyn",97,95,2017,house
NY-13,D,"Espaillat, Adriano",97,97,2017,house
NY-14,D,"Crowley, Joseph",100,94,2017,house
NY-15,D,"Serrano, Jose",97,92,2017,house
NY-16,D,"Engel, Eliot",97,93,2017,house
NY-17,D,"Lowey, Nita",100,94,2017,house
NY-18,D,"Maloney, Sean",94,88,2017,house
NY-19,R,"Faso, John",34,34,2017,house
NY-20,D,"Tonko, Paul",100,97,2017,house
NY-21,R,"Stefanik, Elise",43,27,2017,house
NY-22,R,"Tenney, Claudia",6,6,2017,house
NY-23,R,"Reed, Tom",11,7,2017,house
NY-24,R,"Katko, John",26,22,2017,house
NY-25,D,"Slaughter, Louise",94,91,2017,house
NY-26,D,"Higgins, Brian",100,95,2017,house
NY-27,R,"Collins, Chris",3,3,2017,house
FL-01,R,"Gaetz, Matt",6,6,2017,house
FL-02,R,"Dunn, Neal",3,3,2017,house
FL-03,R,"Yoho, Ted",3,2,2017,house
FL-04,R,"Rutherford, John",3,3,2017,house
FL-05,D,"Lawson, Al",69,69,2017,house
FL-06,R,"DeSantis, Ron",3,2,2017,house
FL-07,D,"Murphy, Stephanie",91,91,2017,house
FL-08,R,"Posey, Bill",0,5,2017,house
FL-09,D,"Soto, Darren",100,100,2017,house
FL-10,D,"Demings, Val",97,97,2017,house
FL-11,R,"Webster, Daniel",3,5,2017,house
FL-12,R,"Bilirakis, Gus",0,8,2017,house
FL-13,D,"Crist, Charlie",83,83,2017,house
FL-14,D,"Castor, Kathy",86,93,2017,house
FL-15,R,"Ross, Dennis",0,4,2017,house
FL-16,R,"Buchanan, Vern",9,19,2017,house
FL-17,R,"Rooney, Tom",6,6,2017,house
FL-18,R,"Mast, Brian",23,23,2017,house
FL-19,R,"Rooney, Francis",0,0,2017,house
FL-20,D,"Hastings, Alcee",94,83,2017,house
FL-21,D,"Frankel, Lois",94,98,2017,house
FL-22,D,"Deutch, Ted",89,90,2017,house
FL-23,D,"Wasserman Schultz, Debbie",86,92,2017,house
FL-24,D,"Wilson, Frederica",86,90,2017,house
FL-25,R,"Diaz-Balart, Mario",6,11,2017,house
FL-26,R,"Curbelo, Carlos",23,33,2017,house
